datetime,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,total_load_actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,is_rain
2017-06-17,8245.0,6497.0,164213.0,137568.0,5914.0,3203.0,19510.0,38803.0,144144.0,1221.0,2251.0,51660.0,7845.0,105620.0,733089.0,300.9961157024793,300.2657024793388,301.6871900826446,1017.5702479338843,50.47107438016529,2.12396694214876,108.55371900826447,0.0,9.12396694214876,0.0
2017-06-18,8643.0,5957.0,141731.0,132368.0,5574.0,5212.0,18460.0,31738.0,144073.0,1186.0,2125.0,50480.0,7889.0,90881.0,675407.0,300.90925,300.05,301.78333333333336,1014.4416666666667,49.525,2.2583333333333333,155.55833333333334,0.0,2.8333333333333335,0.0
2017-06-19,8612.0,6698.0,215607.0,154886.0,7244.0,2261.0,19051.0,34139.0,143943.0,1283.0,2124.0,43435.0,7970.0,136996.0,795426.0,300.33268292682925,299.3451219512195,301.3939024390244,1016.2439024390244,53.8130081300813,2.6178861788617884,140.08943089430895,0.05853658536585366,7.869918699186992,0.024390243902439025
2017-06-20,7511.0,17755.0,248330.0,171322.0,7922.0,679.0,19734.0,40116.0,143964.0,1304.0,2199.0,49838.0,7492.0,86425.0,809758.0,300.31201612903226,299.0532258064516,301.5290322580645,1017.25,51.54032258064516,2.306451612903226,146.1209677419355,0.03870967741935484,13.758064516129032,0.04838709677419355
2017-06-21,8048.0,20806.0,280702.0,162207.0,7830.0,701.0,20308.0,45474.0,139671.0,1232.0,2175.0,53744.0,6731.0,39461.0,809850.0,300.40099999999995,299.5251666666666,301.3668333333333,1015.025,51.358333333333334,2.275,189.64166666666668,0.0025,7.633333333333334,0.008333333333333333
2017-06-22,8671.0,19803.0,283303.0,167149.0,7423.0,1063.0,19352.0,34403.0,142768.0,1228.0,2300.0,55894.0,6686.0,46721.0,811260.0,299.6691666666666,298.6333333333333,300.69166666666666,1017.6916666666667,55.233333333333334,2.375,189.0,0.0,18.616666666666667,0.0
2017-06-23,8397.0,17618.0,235506.0,167782.0,7854.0,582.0,18650.0,32335.0,144042.0,1289.0,2376.0,59514.0,6842.0,64700.0,789202.0,299.0715873015873,298.2412698412698,299.9238095238095,1020.4126984126984,54.611111111111114,2.246031746031746,163.02380952380952,0.0,27.865079365079364,0.0
2017-06-24,8067.0,20424.0,161181.0,157105.0,6783.0,9408.0,17811.0,22386.0,144041.0,1227.0,2039.0,48549.0,7135.0,84661.0,702743.0,299.1306451612903,298.3032258064516,299.94032258064516,1019.0322580645161,55.516129032258064,2.3306451612903225,131.82258064516128,0.014516129032258063,20.258064516129032,0.04032258064516129
2017-06-25,7869.0,19545.0,124043.0,149108.0,5812.0,7500.0,17944.0,26916.0,140064.0,1187.0,1929.0,25693.0,6929.0,85592.0,649445.0,298.4825,297.81935483870967,299.09354838709675,1015.6370967741935,58.37096774193548,2.4274193548387095,114.24193548387096,0.10161290322580645,28.580645161290324,0.0967741935483871
2017-06-26,8622.0,12494.0,206359.0,152839.0,7190.0,230.0,19294.0,38004.0,124002.0,1178.0,2026.0,54537.0,7032.0,65772.0,759016.0,297.76861788617884,297.0849593495935,298.3613821138211,1011.6178861788618,63.41463414634146,2.6504065040650406,157.8048780487805,0.06097560975609756,23.03252032520325,0.0975609756097561
2017-06-27,8663.0,6236.0,146888.0,135508.0,7815.0,5821.0,18774.0,28945.0,132042.0,1412.0,2160.0,49098.0,6713.0,157801.0,763560.0,297.0368595041322,296.2987603305785,297.8028925619834,1009.7520661157025,60.900826446280995,2.84297520661157,157.19834710743802,0.009917355371900825,19.52892561983471,0.024793388429752067
2017-06-28,8815.0,9453.0,88109.0,71010.0,7911.0,23400.0,19850.0,25423.0,137089.0,1525.0,2080.0,40229.0,7161.0,297136.0,738351.0,296.5057723577236,295.49959349593496,297.50772357723577,1008.6747967479674,52.16260162601626,5.219512195121951,227.59349593495935,0.07804878048780488,29.84552845528455,0.10569105691056911
2017-06-29,8568.0,12320.0,104771.0,71657.0,7632.0,32444.0,19200.0,22990.0,135910.0,1537.0,2092.0,52335.0,6878.0,233996.0,701489.0,294.11474999999996,293.05,295.15833333333336,1010.8583333333333,41.233333333333334,5.333333333333333,277.3666666666667,0.007500000000000001,21.183333333333334,0.008333333333333333
2017-06-30,8449.0,14486.0,109338.0,77070.0,7922.0,11514.0,19254.0,27724.0,139481.0,1557.0,2169.0,55829.0,7150.0,173523.0,685681.0,292.9127272727273,291.9268595041322,293.8276859504132,1015.4628099173553,47.05785123966942,3.256198347107438,219.44628099173553,0.052066115702479335,28.74380165289256,0.09917355371900827
2017-07-01,8433.0,14606.0,139932.0,129570.0,5676.0,8190.0,12283.0,55264.0,170408.0,1406.0,2350.0,22645.0,7396.0,82517.0,664622.0,292.87254098360654,292.0270491803278,293.7401639344262,1020.9508196721312,51.467213114754095,3.1065573770491803,168.75409836065575,0.14016393442622951,26.934426229508198,0.14754098360655737
2017-07-02,8954.0,18497.0,121746.0,125610.0,7129.0,21092.0,36457.0,50539.0,170535.0,1388.0,2180.0,13587.0,7223.0,224555.0,741601.0,294.8375848958333,294.2638348958333,295.4888348958333,1021.0416666666666,50.166666666666664,2.35,146.69166666666666,0.0225,15.625,0.075
2017-07-03,9099.0,12781.0,101469.0,51652.0,7584.0,11783.0,31009.0,62535.0,170291.0,1443.0,2460.0,32646.0,6510.0,207807.0,709786.0,297.1370833333333,296.35833333333335,297.94166666666666,1021.3333333333334,48.65,2.341666666666667,119.375,0.0,5.833333333333333,0.0
2017-07-04,5994.0,0.0,109344.0,58716.0,6977.0,3538.0,26761.0,65900.0,169649.0,1387.0,2357.0,57602.0,6421.0,105417.0,676470.0,298.38933333333335,297.475,299.30833333333334,1017.1166666666667,48.333333333333336,2.4583333333333335,138.80833333333334,0.0,3.9166666666666665,0.0
2017-07-05,6259.0,10504.0,93804.0,73035.0,5314.0,12033.0,21013.0,28336.0,145111.0,1228.0,2425.0,60390.0,7216.0,68566.0,552006.0,298.3510833333333,297.01666666666665,299.5083333333333,1015.1666666666666,57.391666666666666,2.9583333333333335,165.43333333333334,0.0,15.0,0.0
2017-07-06,7542.0,18733.0,151518.0,121527.0,7903.0,425.0,21527.0,29677.0,142423.0,1303.0,2444.0,63350.0,6980.0,76653.0,705970.0,296.2548837209302,295.4523255813953,297.04922480620155,1016.8914728682171,71.90697674418605,2.5271317829457365,134.71317829457365,0.13953488372093023,34.12403100775194,0.1937984496124031
2017-07-07,9672.0,19232.0,201695.0,133093.0,8161.0,12235.0,17048.0,20757.0,142821.0,1296.0,2151.0,34178.0,8013.0,124487.0,727621.0,295.9214285714286,294.87222222222215,296.9674603174603,1017.0714285714286,70.63492063492063,2.5238095238095237,155.26190476190476,0.09523809523809523,28.023809523809526,0.06349206349206349
2017-07-08,8468.0,14400.0,196617.0,80172.0,7724.0,4467.0,14795.0,36052.0,164393.0,331.0,2185.0,48264.0,7283.0,126443.0,749431.0,296.75904761904764,296.07857142857137,297.45158730158727,1015.7539682539683,66.87301587301587,2.9523809523809526,188.5952380952381,0.10714285714285714,33.01587301587302,0.0873015873015873
2017-07-09,9459.0,15346.0,182699.0,79555.0,8190.0,1347.0,11117.0,34474.0,159924.0,1473.0,2167.0,46285.0,8006.0,113987.0,740465.0,297.36479338842975,296.6376033057851,298.04256198347105,1014.404958677686,64.52892561983471,2.5371900826446283,185.4793388429752,0.007438016528925619,23.59504132231405,0.01652892561983471
2017-07-10,8743.0,11009.0,144334.0,108118.0,6470.0,6392.0,9130.0,13077.0,143392.0,1290.0,2331.0,42296.0,8216.0,112593.0,619926.0,297.396918699187,296.6778130081301,298.16561788617884,1013.8211382113822,62.19512195121951,2.2439024390243905,181.1138211382114,0.024390243902439025,20.40650406504065,0.056910569105691054
2017-07-11,8280.0,13445.0,225866.0,129283.0,7249.0,5461.0,10007.0,24407.0,120582.0,1232.0,2031.0,33378.0,6234.0,167123.0,702690.0,298.5205833333333,297.75,299.275,1015.15,59.125,1.925,110.33333333333333,0.0,12.266666666666667,0.0
